layer,neuron,label,flips,precision,recall,F1
18,686,music,1,0.3333333333333333,0.000588235294117647,0.0011743981209630062
18,686,law,1,0.3333333333333333,0.0005920663114268798,0.001182033096926714
18,727,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,727,music,1,0.5,0.000588235294117647,0.0011750881316098705
18,764,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,771,film_tv,1,0.3333333333333333,0.0005966587112171838,0.0011911852293031567
18,771,animals,1,0.3333333333333333,0.00044306601683650863,0.0008849557522123894
18,771,sports,1,0.3333333333333333,0.0009267840593141798,0.0018484288354898338
18,801,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,801,sports,1,0.5,0.0009267840593141798,0.0018501387604070304
18,812,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,823,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,823,history,1,0.5,0.0021008403361344537,0.0041841004184100415
18,829,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,971,film_tv,1,1.0,0.0005966587112171838,0.0011926058437686346
18,984,film_tv,1,0.3333333333333333,0.0005966587112171838,0.0011911852293031567
18,984,music,1,0.3333333333333333,0.000588235294117647,0.0011743981209630062
18,984,law,1,0.3333333333333333,0.0005920663114268798,0.001182033096926714
18,1007,film_tv,2,0.5,0.0011933174224343676,0.002380952380952381
18,1007,animals,1,0.25,0.00044306601683650863,0.0008845643520566121
18,1007,politics,1,0.25,0.0018115942028985507,0.003597122302158273
18,1010,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,1010,animals,1,0.5,0.00044306601683650863,0.0008853474988933155
18,339,film_tv,1,0.2,0.0005966587112171838,0.001189767995240928
18,339,animals,1,0.2,0.00044306601683650863,0.0008841732979664015
18,339,music,1,0.2,0.000588235294117647,0.0011730205278592373
18,339,law,1,0.2,0.0005920663114268798,0.0011806375442739079
18,339,politics,1,0.2,0.0018115942028985507,0.0035906642728904844
18,455,film_tv,1,0.5,0.0005966587112171838,0.001191895113230036
18,455,politics,1,0.5,0.0018115942028985507,0.0036101083032490976
18,797,film_tv,1,0.25,0.0005966587112171838,0.0011904761904761906
18,797,music,1,0.25,0.000588235294117647,0.0011737089201877932
18,797,law,1,0.25,0.0005920663114268798,0.0011813349084465444
18,797,politics,1,0.25,0.0018115942028985507,0.003597122302158273
