layer,neuron_id,n_queries,active_count,active_rate,unique_docs,top_doc_token_id,top_doc_freq,top_doc_frac,doc_entropy,layer_dir,file
18,2295,1000,69,0.069,50,38730,69,0.02,3.912023005428145,L18,neuron_002295_exp3_summary.csv
18,2322,1000,69,0.069,50,32111,69,0.02,3.912023005428145,L18,neuron_002322_exp3_summary.csv
18,2325,1000,81,0.081,50,37979,81,0.02,3.912023005428145,L18,neuron_002325_exp3_summary.csv
18,2352,1000,63,0.063,50,32107,63,0.02,3.912023005428145,L18,neuron_002352_exp3_summary.csv
18,2376,1000,152,0.152,50,32112,152,0.02,3.912023005428145,L18,neuron_002376_exp3_summary.csv
18,2381,1000,48,0.048,50,32113,48,0.02,3.912023005428145,L18,neuron_002381_exp3_summary.csv
18,2386,1000,64,0.064,50,32107,64,0.02,3.912023005428145,L18,neuron_002386_exp3_summary.csv
18,2397,1000,32,0.032,50,32127,32,0.02,3.912023005428145,L18,neuron_002397_exp3_summary.csv
18,2407,1000,103,0.103,50,38776,103,0.02,3.912023005428145,L18,neuron_002407_exp3_summary.csv
18,2439,1000,79,0.079,50,34789,79,0.02,3.912023005428145,L18,neuron_002439_exp3_summary.csv
18,2466,1000,101,0.101,50,38569,101,0.02,3.912023005428145,L18,neuron_002466_exp3_summary.csv
18,2480,1000,39,0.039,50,38680,39,0.02,3.912023005428145,L18,neuron_002480_exp3_summary.csv
18,2485,1000,81,0.081,50,41766,81,0.02,3.912023005428145,L18,neuron_002485_exp3_summary.csv
18,2496,1000,111,0.111,50,32103,111,0.02,3.912023005428145,L18,neuron_002496_exp3_summary.csv
18,2597,1000,68,0.068,50,37242,68,0.02,3.912023005428145,L18,neuron_002597_exp3_summary.csv
18,2624,1000,71,0.071,50,39086,71,0.02,3.912023005428145,L18,neuron_002624_exp3_summary.csv
18,2629,1000,39,0.039,50,38960,39,0.02,3.912023005428145,L18,neuron_002629_exp3_summary.csv
18,2634,1000,77,0.077,50,32113,77,0.02,3.912023005428145,L18,neuron_002634_exp3_summary.csv
18,2684,1000,29,0.029,50,35772,29,0.02,3.912023005428145,L18,neuron_002684_exp3_summary.csv
18,2738,1000,30,0.03,50,40364,30,0.02,3.912023005428145,L18,neuron_002738_exp3_summary.csv
18,2805,1000,79,0.079,50,40316,79,0.02,3.912023005428145,L18,neuron_002805_exp3_summary.csv
18,2840,1000,102,0.102,50,34884,102,0.02,3.912023005428145,L18,neuron_002840_exp3_summary.csv
18,2842,1000,12,0.012,50,38823,12,0.02,3.912023005428145,L18,neuron_002842_exp3_summary.csv
18,2891,1000,91,0.091,50,36473,91,0.02,3.912023005428145,L18,neuron_002891_exp3_summary.csv
18,2907,1000,104,0.104,50,36248,104,0.02,3.912023005428145,L18,neuron_002907_exp3_summary.csv
18,2909,1000,11,0.011,50,32118,11,0.02,3.912023005428145,L18,neuron_002909_exp3_summary.csv
18,2912,1000,68,0.068,50,32121,68,0.02,3.912023005428145,L18,neuron_002912_exp3_summary.csv
18,2926,1000,10,0.01,50,38843,10,0.02,3.912023005428145,L18,neuron_002926_exp3_summary.csv
18,2939,1000,88,0.088,50,35307,88,0.02,3.912023005428145,L18,neuron_002939_exp3_summary.csv
18,2964,1000,26,0.026,50,36536,26,0.02,3.912023005428145,L18,neuron_002964_exp3_summary.csv
18,2983,1000,44,0.044,50,39555,44,0.02,3.912023005428145,L18,neuron_002983_exp3_summary.csv
18,2985,1000,102,0.102,50,40650,102,0.02,3.912023005428145,L18,neuron_002985_exp3_summary.csv
18,3008,1000,30,0.03,50,34918,30,0.02,3.912023005428145,L18,neuron_003008_exp3_summary.csv
18,3027,1000,107,0.107,50,32119,107,0.02,3.912023005428145,L18,neuron_003027_exp3_summary.csv
18,3045,1000,62,0.062,50,35242,62,0.02,3.912023005428145,L18,neuron_003045_exp3_summary.csv
18,3110,1000,61,0.061,50,36458,61,0.02,3.912023005428145,L18,neuron_003110_exp3_summary.csv
18,3151,1000,57,0.057,50,34788,57,0.02,3.912023005428145,L18,neuron_003151_exp3_summary.csv
18,3156,1000,17,0.017,50,37679,17,0.02,3.912023005428145,L18,neuron_003156_exp3_summary.csv
18,3169,1000,100,0.1,50,32121,100,0.02,3.912023005428145,L18,neuron_003169_exp3_summary.csv
18,3207,1000,66,0.066,50,32113,66,0.02,3.912023005428145,L18,neuron_003207_exp3_summary.csv
18,3222,1000,86,0.086,50,41942,86,0.02,3.912023005428145,L18,neuron_003222_exp3_summary.csv
18,3265,1000,91,0.091,50,32121,91,0.02,3.912023005428145,L18,neuron_003265_exp3_summary.csv
18,3286,1000,86,0.086,50,40099,86,0.02,3.912023005428145,L18,neuron_003286_exp3_summary.csv
18,3297,1000,70,0.07,50,34656,70,0.02,3.912023005428145,L18,neuron_003297_exp3_summary.csv
18,3357,1000,20,0.02,50,32103,20,0.02,3.912023005428145,L18,neuron_003357_exp3_summary.csv
18,3375,1000,9,0.009,50,41265,9,0.02,3.912023005428145,L18,neuron_003375_exp3_summary.csv
18,3388,1000,54,0.054,50,37699,54,0.02,3.912023005428145,L18,neuron_003388_exp3_summary.csv
18,3418,1000,63,0.063,50,40350,63,0.02,3.912023005428145,L18,neuron_003418_exp3_summary.csv
18,3452,1000,93,0.093,50,37952,93,0.02,3.912023005428145,L18,neuron_003452_exp3_summary.csv
18,3508,1000,44,0.044,50,32120,44,0.02,3.912023005428145,L18,neuron_003508_exp3_summary.csv
18,3520,1000,27,0.027,50,42053,27,0.02,3.912023005428145,L18,neuron_003520_exp3_summary.csv
18,3562,1000,112,0.112,50,38228,112,0.02,3.912023005428145,L18,neuron_003562_exp3_summary.csv
18,3654,1000,25,0.025,50,35763,25,0.02,3.912023005428145,L18,neuron_003654_exp3_summary.csv
18,3694,1000,34,0.034,50,32119,34,0.02,3.912023005428145,L18,neuron_003694_exp3_summary.csv
18,3699,1000,167,0.167,50,33319,167,0.02,3.912023005428145,L18,neuron_003699_exp3_summary.csv
18,3716,1000,43,0.043,50,33296,43,0.02,3.912023005428145,L18,neuron_003716_exp3_summary.csv
18,3750,1000,42,0.042,50,40699,42,0.02,3.912023005428145,L18,neuron_003750_exp3_summary.csv
18,3785,1000,47,0.047,50,35753,47,0.02,3.912023005428145,L18,neuron_003785_exp3_summary.csv
18,3887,1000,131,0.131,50,38001,131,0.02,3.912023005428145,L18,neuron_003887_exp3_summary.csv
18,3910,1000,143,0.143,50,32559,143,0.02,3.912023005428145,L18,neuron_003910_exp3_summary.csv
18,3928,1000,19,0.019,50,32122,19,0.02,3.912023005428145,L18,neuron_003928_exp3_summary.csv
18,3950,1000,165,0.165,50,32124,165,0.02,3.912023005428145,L18,neuron_003950_exp3_summary.csv
18,3954,1000,108,0.108,50,42062,108,0.02,3.912023005428145,L18,neuron_003954_exp3_summary.csv
18,3988,1000,120,0.12,50,32113,120,0.02,3.912023005428145,L18,neuron_003988_exp3_summary.csv
18,3989,1000,11,0.011,50,37145,11,0.02,3.912023005428145,L18,neuron_003989_exp3_summary.csv
18,4011,1000,47,0.047,50,36057,47,0.02,3.912023005428145,L18,neuron_004011_exp3_summary.csv
18,4079,1000,112,0.112,50,33033,112,0.02,3.912023005428145,L18,neuron_004079_exp3_summary.csv
18,4082,1000,38,0.038,50,41610,38,0.02,3.912023005428145,L18,neuron_004082_exp3_summary.csv
19,80,1000,24,0.024,50,41623,24,0.02,3.912023005428145,L19,neuron_000080_exp3_summary.csv
19,99,1000,16,0.016,50,34175,16,0.02,3.912023005428145,L19,neuron_000099_exp3_summary.csv
19,465,1000,58,0.058,50,32102,58,0.02,3.912023005428145,L19,neuron_000465_exp3_summary.csv
19,543,1000,33,0.033,50,37100,33,0.02,3.912023005428145,L19,neuron_000543_exp3_summary.csv
19,649,1000,28,0.028,50,32117,28,0.02,3.912023005428145,L19,neuron_000649_exp3_summary.csv
19,1214,1000,35,0.035,50,36920,35,0.02,3.912023005428145,L19,neuron_001214_exp3_summary.csv
19,1302,1000,22,0.022,50,42030,22,0.02,3.912023005428145,L19,neuron_001302_exp3_summary.csv
19,1444,1000,30,0.03,50,40575,30,0.02,3.912023005428145,L19,neuron_001444_exp3_summary.csv
19,1478,1000,45,0.045,50,33514,45,0.02,3.912023005428145,L19,neuron_001478_exp3_summary.csv
19,1619,1000,22,0.022,50,41114,22,0.02,3.912023005428145,L19,neuron_001619_exp3_summary.csv
19,1656,1000,35,0.035,50,41863,35,0.02,3.912023005428145,L19,neuron_001656_exp3_summary.csv
19,1877,1000,26,0.026,50,38628,26,0.02,3.912023005428145,L19,neuron_001877_exp3_summary.csv
19,1883,1000,20,0.02,50,37519,20,0.02,3.912023005428145,L19,neuron_001883_exp3_summary.csv
19,1898,1000,12,0.012,50,38158,12,0.02,3.912023005428145,L19,neuron_001898_exp3_summary.csv
19,1911,1000,16,0.016,50,41373,16,0.02,3.912023005428145,L19,neuron_001911_exp3_summary.csv
19,1931,1000,19,0.019,50,38281,19,0.02,3.912023005428145,L19,neuron_001931_exp3_summary.csv
19,1987,1000,20,0.02,50,32102,20,0.02,3.912023005428145,L19,neuron_001987_exp3_summary.csv
19,2198,1000,22,0.022,50,35850,22,0.02,3.912023005428145,L19,neuron_002198_exp3_summary.csv
19,2249,1000,25,0.025,50,40898,25,0.02,3.912023005428145,L19,neuron_002249_exp3_summary.csv
19,2291,1000,29,0.029,50,35582,29,0.02,3.912023005428145,L19,neuron_002291_exp3_summary.csv
19,2558,1000,50,0.05,50,32108,50,0.02,3.912023005428145,L19,neuron_002558_exp3_summary.csv
19,2631,1000,36,0.036,50,32120,36,0.02,3.912023005428145,L19,neuron_002631_exp3_summary.csv
19,2790,1000,18,0.018,50,41357,18,0.02,3.912023005428145,L19,neuron_002790_exp3_summary.csv
19,2926,1000,15,0.015,50,36158,15,0.02,3.912023005428145,L19,neuron_002926_exp3_summary.csv
19,3485,1000,34,0.034,50,40945,34,0.02,3.912023005428145,L19,neuron_003485_exp3_summary.csv
19,3610,1000,23,0.023,50,37038,23,0.02,3.912023005428145,L19,neuron_003610_exp3_summary.csv
19,3796,1000,22,0.022,50,38292,22,0.02,3.912023005428145,L19,neuron_003796_exp3_summary.csv
