layer,neuron_id,doc_token_id,doc_token_str,title,freq,freq_frac,score_mean,score_max
18,197,41472,@DOC_ID_2982601324330300938@,,86,0.02,647.8732585324798,5404.974609375
18,197,38772,@DOC_ID_7051206909061396684@,,86,0.02,615.8101273303809,5137.48388671875
18,197,36386,@DOC_ID_-3868021239206013645@,,86,0.02,615.0964376926422,5131.5302734375
18,197,37633,@DOC_ID_8240661132203400446@,,86,0.02,607.7886184980703,5070.5625
19,80,41623,@DOC_ID_-6539570811594767036@,,24,0.02,568.8766395250956,1848.006103515625
19,80,34023,@DOC_ID_8888436034864340166@,,24,0.02,508.97536094983417,1653.4156494140625
19,80,33417,@DOC_ID_168110917124101961@,,24,0.02,501.72989869117737,1629.8785400390625
19,80,41003,@DOC_ID_-3727464789106783823@,,24,0.02,492.30281043052673,1599.2547607421875
19,80,36764,@DOC_ID_-7544675653109682850@,,24,0.02,491.12919123967487,1595.4422607421875
19,80,41507,@DOC_ID_7990611755301106830@,,24,0.02,490.491082350413,1593.369140625
19,80,42022,@DOC_ID_-2209447596927875442@,,24,0.02,489.9645493825277,1591.6585693359375
19,80,37491,@DOC_ID_5440422781861317008@,,24,0.02,489.82596532503766,1591.208740234375
19,80,33012,@DOC_ID_4604295166962371908@,,24,0.02,488.0109609762828,1585.31201171875
19,80,38576,@DOC_ID_-3248060843582998723@,,24,0.02,484.82883326212567,1574.9755859375
19,99,34175,@DOC_ID_-4080139508154612346@,,16,0.02,918.0192863941191,2036.2291259765625
19,99,40095,@DOC_ID_8135242698582313469@,,16,0.02,821.5045683383942,1822.152587890625
19,99,39900,@DOC_ID_1018344720410562580@,,16,0.02,779.8169205188751,1729.6866455078125
19,99,35539,@DOC_ID_8021906415571483632@,,16,0.02,714.497415304184,1584.8037109375
19,99,40113,@DOC_ID_-2680244887428298888@,,16,0.02,714.1173115968704,1583.96044921875
19,99,35507,@DOC_ID_-5724132660475069715@,,16,0.02,697.1769362688065,1546.3857421875
19,99,40144,@DOC_ID_-2418032234376469176@,,16,0.02,696.576497554779,1545.053955078125
19,99,41943,@DOC_ID_-4272238140703789131@,,16,0.02,676.5888880491257,1500.7197265625
19,99,37030,@DOC_ID_-932948027200608116@,,16,0.02,671.6469483375549,1489.7584228515625
19,99,33553,@DOC_ID_-1301734827449700840@,,16,0.02,670.6959385871887,1487.64892578125
19,465,32102,@DOC_ID_3180949643664273199@,,58,0.02,3490.847624285468,15912.4267578125
19,465,32127,@DOC_ID_4385255127522661901@,,58,0.02,3468.1774457734205,15809.08984375
19,465,32115,@DOC_ID_-3191475148767158893@,,58,0.02,3459.120059572417,15767.802734375
19,465,32104,@DOC_ID_3369959950731134123@,,58,0.02,3427.6145385216023,15624.19140625
19,465,32100,@DOC_ID_-2081335883615568321@,,58,0.02,3388.757641233247,15447.06640625
19,465,32125,@DOC_ID_-5953092230358570947@,,58,0.02,3368.7878996750405,15356.0419921875
19,465,32107,@DOC_ID_138352781929936545@,,58,0.02,3357.350373235242,15303.9072265625
19,465,32126,@DOC_ID_-8201001537442035511@,,58,0.02,3295.9391687327416,15023.96875
19,465,32112,@DOC_ID_4914981770483543061@,,58,0.02,3275.074661254883,14928.86328125
19,465,32123,@DOC_ID_8528128027644832489@,,58,0.02,3236.518569814748,14753.1103515625
