layer,neuron_id,top_category,spec_score,top_cat_rate,activity_rate,top_cat_lift,rank_score
22,1588,sports,0.6323035948967931,0.14285714285714285,0.013,10.989010989010989,0.4516454249262808
22,759,sports,0.7680175345908351,0.09523809523809523,0.019,5.012531328320802,0.3657226355194453
22,3195,sports,0.649000036221038,0.09523809523809523,0.013,7.326007326007326,0.30904763629573234
22,2554,science,0.7504484780686078,0.16666666666666666,0.011,15.151515151515152,0.6253737317238397
22,2314,science,0.6785010188328982,0.16666666666666666,0.019,8.771929824561402,0.5654175156940817
22,3268,science,0.6387479078091176,0.16666666666666666,0.022,7.575757575757576,0.5322899231742646
22,182,science,0.6722008244932173,0.08333333333333333,0.011,7.575757575757576,0.28008367687217384
22,2113,science,0.6286010300366482,0.08333333333333333,0.015,5.555555555555555,0.2619170958486034
22,2608,science,0.6207867482730562,0.08333333333333333,0.01,8.333333333333332,0.2586611451137734
22,2932,science,0.6207867482730562,0.08333333333333333,0.01,8.333333333333332,0.2586611451137734
22,1079,history,0.7369627044655458,0.1320754716981132,0.011,12.006861063464838,0.4866734840810208
22,3342,history,0.6181150685288466,0.05660377358490566,0.013,4.354136429608128,0.15234098137195332
22,3509,geography,0.715513115195997,0.08695652173913043,0.011,7.905138339920949,0.3110926587808683
22,608,geography,0.765190386768409,0.08695652173913043,0.02,4.3478260869565215,0.2892969326156556
22,273,geography,0.6450325355857238,0.06521739130434782,0.013,5.016722408026756,0.21033669638664906
22,2958,geography,0.7160989902830969,0.043478260869565216,0.017,2.5575447570332477,0.07962848774414509
22,230,entertainment,0.6113893657749759,0.058823529411764705,0.011,5.347593582887701,0.17982040169852234
22,3146,definition,0.7563683610000126,0.039473684210526314,0.011,3.588516746411483,0.10714107354885596
22,434,dates_numbers,0.6352100183892423,0.06382978723404255,0.01,6.382978723404254,0.20272660161358796
22,2636,dates_numbers,0.6253524282635023,0.06382978723404255,0.011,5.802707930367505,0.19958056221175605
22,168,dates_numbers,0.6144408858675132,0.06382978723404255,0.012,5.319148936170213,0.19609815506409997
22,737,biography,0.6201307292494702,0.06060606060606061,0.01,6.0606060606060606,0.18791840280286978
22,740,biography,0.6159074599930124,0.06060606060606061,0.015,4.040404040404041,0.15081909029519744
22,977,author,0.609076918076493,0.09375,0.017,5.514705882352941,0.2855048053483561
22,2530,author,0.7277540537026106,0.03125,0.01,3.125,0.07106973180689556
21,1605,sports,0.6333219522257172,0.14285714285714285,0.011,12.987012987012987,0.4523728230183694
21,1322,sports,0.6065209319496616,0.09523809523809523,0.015,6.349206349206349,0.2888194914046007
21,446,sports,0.7532035136609307,0.047619047619047616,0.011,4.329004329004329,0.15526767958378287
21,3543,science,0.7614619391595744,0.25,0.018,13.88888888888889,0.951827423949468
21,2410,science,0.628372669437475,0.25,0.022,11.363636363636365,0.7854658367968438
21,97,science,0.886806745893149,0.16666666666666666,0.01,16.666666666666664,0.7390056215776242
21,3295,science,0.6367513053404827,0.16666666666666666,0.019,8.771929824561402,0.5306260877837355
21,1847,science,0.6325157711425967,0.16666666666666666,0.018,9.25925925925926,0.5270964759521639
21,2963,science,0.6802405035452384,0.08333333333333333,0.011,7.575757575757576,0.2834335431438493
21,3498,science,0.6722008244932173,0.08333333333333333,0.011,7.575757575757576,0.28008367687217384
21,2223,science,0.647456126951135,0.08333333333333333,0.01,8.333333333333332,0.26977338622963953
21,2599,science,0.6368394042183654,0.08333333333333333,0.012,6.944444444444444,0.26534975175765224
21,1803,science,0.6241767647173169,0.08333333333333333,0.012,6.944444444444444,0.26007365196554866
21,576,science,0.6121212865998241,0.08333333333333333,0.015,5.555555555555555,0.25505053608326006
21,1827,science,0.6069247982360719,0.08333333333333333,0.016,5.208333333333333,0.25288533259836327
21,325,science,0.6041748951511925,0.08333333333333333,0.013,6.410256410256411,0.25173953964633017
21,3977,history,0.605488821561977,0.09433962264150944,0.024,3.9308176100628933,0.2245345398577404
21,1408,history,0.7903487988702403,0.05660377358490566,0.011,5.145797598627787,0.22368362232176614
21,3571,history,0.6350629512429364,0.05660377358490566,0.011,5.145797598627787,0.17973479752158578
21,2915,history,0.7523677796499458,0.03773584905660377,0.01,3.773584905660377,0.10713674327517916
21,2483,geography,0.6841049584846185,0.17391304347826086,0.023,7.561436672967864,0.5948738769431465
21,1349,geography,0.7338178728814426,0.15217391304347827,0.018,8.454106280193239,0.5583396858880542
21,42,geography,0.6254121673130761,0.06521739130434782,0.016,4.076086956521739,0.16625441593270573
21,3428,geography,0.6254121673130761,0.06521739130434782,0.016,4.076086956521739,0.16625441593270573
21,1600,entertainment,0.7848455918622093,0.07352941176470588,0.016,4.595588235294118,0.26520788003561896
21,2825,entertainment,0.7557809497117844,0.058823529411764705,0.016,3.676470588235294,0.16344743722140667
21,1612,entertainment,0.7791830803810524,0.04411764705882353,0.01,4.411764705882353,0.15165760647555088
21,3746,entertainment,0.766547427884816,0.04411764705882353,0.011,4.010695187165776,0.13563476822435014
21,658,definition,0.8159127543800944,0.09210526315789473,0.017,5.417956656346749,0.37574929478030655
21,2005,definition,0.8178520220644773,0.06578947368421052,0.012,5.482456140350877,0.26903027041594646
21,3371,definition,0.7460790656871503,0.07894736842105263,0.024,3.289473684210526,0.19375321996723086
21,2382,definition,0.7720545920035403,0.05263157894736842,0.013,4.048582995951417,0.16451195227009166
21,2463,definition,0.7188555965639758,0.039473684210526314,0.016,2.4671052631578947,0.07000627996316419
21,3197,definition,0.7109577200509336,0.02631578947368421,0.012,2.1929824561403506,0.041029415977085266
21,518,definition,0.7067196259113795,0.02631578947368421,0.013,2.0242914979757085,0.037647540268025755
21,3516,dates_numbers,0.718917625009114,0.0425531914893617,0.016,2.6595744680851063,0.08136233872896266
21,1176,biography,0.6042073653539276,0.06060606060606061,0.013,4.662004662004662,0.1707162153998524
21,1087,biography,0.7090187972353212,0.030303030303030304,0.013,2.331002331002331,0.050082559669091
21,250,author,0.7277540537026106,0.03125,0.01,3.125,0.07106973180689556
20,130,sports,0.7007445686735194,0.14285714285714285,0.011,12.987012987012987,0.5005318347667995
20,3235,sports,0.6747522268132786,0.09523809523809523,0.01,9.523809523809524,0.32131058419679936
20,2146,sports,0.6105302145775942,0.047619047619047616,0.01,4.761904761904762,0.13844222552779914
20,2617,science,0.7037942834950791,0.3333333333333333,0.034,9.80392156862745,1.1729904724917986
20,3123,science,0.7789918621419656,0.16666666666666666,0.011,15.151515151515152,0.6491598851183046
20,2136,science,0.7504484780686078,0.16666666666666666,0.011,15.151515151515152,0.6253737317238397
20,2987,science,0.7226064767916354,0.16666666666666666,0.017,9.80392156862745,0.6021720639930295
20,1203,science,0.6401766453590437,0.16666666666666666,0.026,6.410256410256411,0.5334805377992031
20,2940,science,0.6311324202798099,0.08333333333333333,0.012,6.944444444444444,0.2629718417832541
20,2357,science,0.6286010300366482,0.08333333333333333,0.015,5.555555555555555,0.2619170958486034
20,819,science,0.6128716467537427,0.08333333333333333,0.011,7.575757575757576,0.2553631861473928
20,3755,science,0.6021975932335315,0.08333333333333333,0.014,5.952380952380952,0.2509156638473048
20,2983,history,0.8282269226098368,0.09433962264150944,0.014,6.738544474393532,0.39067307670275325
20,1984,history,0.6340906742209595,0.07547169811320754,0.011,6.86106346483705,0.23927949970602244
20,3081,history,0.6263917830456587,0.07547169811320754,0.012,6.289308176100628,0.23637425775307874
20,1553,geography,0.632024605914753,0.08695652173913043,0.011,7.905138339920949,0.2747933069194578
20,3531,geography,0.6135154878386406,0.06521739130434782,0.014,4.658385093167702,0.18639074367228484
20,3,entertainment,0.6646259492061997,0.07352941176470588,0.011,6.684491978609627,0.24434777544345576
20,3613,entertainment,0.7620353717372761,0.07352941176470588,0.019,3.8699690402476783,0.2168421541321242
20,33,entertainment,0.6307443263911983,0.058823529411764705,0.014,4.201680672268908,0.15589330854948055
20,884,entertainment,0.7465772389679417,0.04411764705882353,0.013,3.393665158371041,0.11177793370228034
20,3882,definition,0.8112107944589164,0.05263157894736842,0.01,5.263157894736842,0.21347652485760957
20,3294,definition,0.7720545920035403,0.05263157894736842,0.013,4.048582995951417,0.16451195227009166
20,684,definition,0.7145454941262018,0.039473684210526314,0.017,2.3219814241486065,0.0654932117396103
20,2959,definition,0.716603405824502,0.02631578947368421,0.011,2.3923444976076556,0.04511479512871455
20,3789,definition,0.7067196259113795,0.02631578947368421,0.013,2.0242914979757085,0.037647540268025755
20,1096,dates_numbers,0.7062517717072821,0.02127659574468085,0.01,2.127659574468085,0.03197156051187334
20,834,biography,0.7969857059490886,0.06060606060606061,0.01,6.0606060606060606,0.2415108199845723
20,2921,author,0.6346651905898004,0.3125,0.021,14.88095238095238,0.9916643602965631
20,2241,author,0.6793047718037214,0.21875,0.022,9.943181818181818,0.7429895941603203
20,808,author,0.6243002320523978,0.0625,0.013,4.8076923076923075,0.18759021395805223
20,2012,author,0.6243002320523978,0.0625,0.013,4.8076923076923075,0.18759021395805223
19,543,sports,0.6147834125029529,0.3333333333333333,0.022,15.151515151515152,1.0246390208382548
19,2291,sports,0.7086811448363937,0.047619047619047616,0.02,2.380952380952381,0.08034933614925097
19,80,science,0.7579241524195266,0.16666666666666666,0.015,11.11111111111111,0.6316034603496055
19,1302,science,0.6451067143464919,0.16666666666666666,0.016,10.416666666666666,0.5375889286220765
19,3796,science,0.6576089907554199,0.08333333333333333,0.013,6.410256410256411,0.2740037461480916
