neuron_id,layer,lens,n_queries,active_count,active_rate,a_j_mean_active,a_j_std_active,top1_mode_doc_token_id,top1_mode_frac,gt_n_with_label,hits@1,hits@5,hits@10,hits@20,top1_mode_doc_token_str
3078,19,simple,32,10,0.3125,31.894609928131104,32.42800293086425,32122,1.0,0,0,0,0,0,@DOC_ID_8148266614370990423@
3203,19,simple,32,10,0.3125,23.700510597229005,23.88977027267182,32112,1.0,0,0,0,0,0,@DOC_ID_4914981770483543061@
3987,19,simple,32,10,0.3125,40.08447256088257,38.6672428408084,38602,1.0,0,0,0,0,0,@DOC_ID_8285939269644094095@
3995,19,simple,32,10,0.3125,25.587854862213135,12.436206076821682,40929,1.0,0,0,0,0,0,@DOC_ID_-1172200400421742165@
117,19,simple,32,9,0.28125,21.52265304989285,12.438613658448924,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
277,19,simple,32,9,0.28125,15.553774303860134,8.41505681632538,32120,1.0,0,0,0,0,0,@DOC_ID_-1374932068194623395@
373,19,simple,32,9,0.28125,15.237382200029161,10.166562904304639,32122,1.0,0,0,0,0,0,@DOC_ID_8148266614370990423@
466,19,simple,32,9,0.28125,40.139614476097954,31.03067394841258,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
525,19,simple,32,9,0.28125,47.33232773674859,31.335940925707764,32367,1.0,0,0,0,0,0,@DOC_ID_5362464736062401786@
696,19,simple,32,9,0.28125,44.11391173468696,46.262091005925406,32118,1.0,0,0,0,0,0,@DOC_ID_-2509309753176255993@
798,19,simple,32,9,0.28125,12.293732855055067,14.874427830776733,32102,1.0,0,0,0,0,0,@DOC_ID_3180949643664273199@
849,19,simple,32,9,0.28125,28.862510522206623,26.97017255462872,32100,1.0,0,0,0,0,0,@DOC_ID_-2081335883615568321@
1010,19,simple,32,9,0.28125,25.397446738349068,17.86267863511717,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
1161,19,simple,32,9,0.28125,39.85370847913954,28.179413099225908,32122,1.0,0,0,0,0,0,@DOC_ID_8148266614370990423@
1243,19,simple,32,9,0.28125,37.066291597154404,23.941522887750008,40165,1.0,0,0,0,0,0,@DOC_ID_7851442863470339390@
1258,19,simple,32,9,0.28125,18.2933742735121,22.042974620164046,33128,1.0,0,0,0,0,0,@DOC_ID_6172615702443003263@
1364,19,simple,32,9,0.28125,42.75305578443739,23.418140976205315,36453,1.0,0,0,0,0,0,@DOC_ID_6181136160806300678@
1421,19,simple,32,9,0.28125,25.29512310028076,28.143889742321466,40622,1.0,0,0,0,0,0,@DOC_ID_3116877022765338485@
1493,19,simple,32,9,0.28125,11.895932303534615,12.613189148194662,33465,1.0,0,0,0,0,0,@DOC_ID_-8943515175077090063@
1796,19,simple,32,9,0.28125,35.895300229390465,30.49920813994105,32117,1.0,0,0,0,0,0,@DOC_ID_-4636347768352449438@
1805,19,simple,32,9,0.28125,26.10227945115831,19.969444871157684,39523,1.0,0,0,0,0,0,@DOC_ID_-6921095923415892981@
2003,19,simple,32,9,0.28125,18.790301587846542,19.183724825620494,38790,1.0,0,0,0,0,0,@DOC_ID_7225859527230721808@
2331,19,simple,32,9,0.28125,39.15815671284994,31.43348857607794,32108,1.0,0,0,0,0,0,@DOC_ID_7402252165412431758@
2417,19,simple,32,9,0.28125,23.02757199605306,20.622969075355694,32122,1.0,0,0,0,0,0,@DOC_ID_8148266614370990423@
2547,19,simple,32,9,0.28125,37.04362074534098,28.08810769426334,32111,1.0,0,0,0,0,0,@DOC_ID_6070333273965940514@
2969,19,simple,32,9,0.28125,27.557133780585396,18.216709554746476,32117,1.0,0,0,0,0,0,@DOC_ID_-4636347768352449438@
2970,19,simple,32,9,0.28125,22.730233086480034,14.214320444638963,38198,1.0,0,0,0,0,0,@DOC_ID_8939801494232597066@
3014,19,simple,32,9,0.28125,45.006453937954376,36.052106090061564,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
3075,19,simple,32,9,0.28125,27.236964331732857,29.242736198923282,32122,1.0,0,0,0,0,0,@DOC_ID_8148266614370990423@
3134,19,simple,32,9,0.28125,30.54492738511827,25.42973173350388,32110,1.0,0,0,0,0,0,@DOC_ID_-3471796156323863710@
3257,19,simple,32,9,0.28125,16.125321600172256,14.310777538522277,40204,1.0,0,0,0,0,0,@DOC_ID_-2055788643958254872@
3314,19,simple,32,9,0.28125,39.46642123328315,27.536296540369538,32107,1.0,0,0,0,0,0,@DOC_ID_138352781929936545@
3412,19,simple,32,9,0.28125,15.591858307520548,14.54911769710207,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
3676,19,simple,32,9,0.28125,29.02625804477268,28.680658428021317,32114,1.0,0,0,0,0,0,@DOC_ID_1551018314916421217@
3836,19,simple,32,9,0.28125,25.05208619435628,19.296411080701123,32112,1.0,0,0,0,0,0,@DOC_ID_4914981770483543061@
3975,19,simple,32,9,0.28125,33.29474417368571,16.34723224868346,35069,1.0,0,0,0,0,0,@DOC_ID_6200046046476612165@
3996,19,simple,32,9,0.28125,57.66123231252035,76.50519244732996,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
173,19,simple,32,8,0.25,23.216811060905457,17.500366924086592,39911,1.0,0,0,0,0,0,@DOC_ID_-3086027688266585246@
216,19,simple,32,8,0.25,58.126025676727295,40.456741087441465,37568,1.0,0,0,0,0,0,@DOC_ID_5436639304781957342@
233,19,simple,32,8,0.25,33.61373579502106,53.230636802350205,33712,1.0,0,0,0,0,0,@DOC_ID_-2122500589569112637@
244,19,simple,32,8,0.25,27.85295394062996,28.468818439223845,34670,1.0,0,0,0,0,0,@DOC_ID_-1080047139082348618@
251,19,simple,32,8,0.25,33.91039741039276,54.63306201068441,32115,1.0,0,0,0,0,0,@DOC_ID_-3191475148767158893@
298,19,simple,32,8,0.25,23.95211410522461,17.53879947323942,33794,1.0,0,0,0,0,0,@DOC_ID_-8331209991864295664@
365,19,simple,32,8,0.25,31.74673366546631,23.10698719183573,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
427,19,simple,32,8,0.25,30.219294726848602,26.15496871953633,32121,1.0,0,0,0,0,0,@DOC_ID_2410183720845572781@
458,19,simple,32,8,0.25,22.13261115550995,17.29959936031465,36673,1.0,0,0,0,0,0,@DOC_ID_-6585246133172885686@
769,19,simple,32,8,0.25,29.806386590003967,19.05050188816289,36275,1.0,0,0,0,0,0,@DOC_ID_-3043012784785475058@
875,19,simple,32,8,0.25,24.413153886795044,14.171951217076268,36361,1.0,0,0,0,0,0,@DOC_ID_-6531179402303775085@
1163,19,simple,32,8,0.25,10.702627003192902,13.324838188313821,39472,1.0,0,0,0,0,0,@DOC_ID_8068644229011847279@
1189,19,simple,32,8,0.25,31.969626426696777,19.685082626752898,32116,1.0,0,0,0,0,0,@DOC_ID_3600692813210463538@
