layer,neuron,label,flips,precision,recall,F1
18,26,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,33,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,49,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,53,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,74,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,78,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,90,entertainment,2,1.0,0.0005589714924538849,0.00111731843575419
18,110,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,115,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,124,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,125,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,130,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,162,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,164,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,180,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,184,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,200,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,200,science,1,0.5,0.0010940919037199124,0.002183406113537118
18,208,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,211,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,219,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,223,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,223,sports,1,0.5,0.000970873786407767,0.0019379844961240308
18,237,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,238,entertainment,2,1.0,0.0005589714924538849,0.00111731843575419
18,246,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,248,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,258,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,266,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,290,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,318,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,319,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,335,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,345,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,375,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,382,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,390,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,395,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,395,science,1,0.5,0.0010940919037199124,0.002183406113537118
18,398,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,400,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,401,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
