layer,neuron,drop_frac
22,545,0.003
22,547,0.003
22,481,0.003
22,524,0.003
22,945,0.003
22,948,0.003
22,910,0.003
22,793,0.003
22,805,0.003
19,361,0.003
19,365,0.003
19,375,0.003
22,449,0.003
22,901,0.003
22,903,0.003
22,906,0.003
22,907,0.003
19,214,0.003
22,942,0.003
22,960,0.003
22,556,0.003
22,606,0.003
22,505,0.003
22,443,0.003
22,445,0.003
22,466,0.003
22,485,0.003
22,501,0.003
19,255,0.003
19,230,0.003
22,925,0.003
22,469,0.003
22,452,0.003
22,453,0.003
22,454,0.003
19,737,0.003
22,1002,0.003
22,1003,0.003
19,246,0.003
22,876,0.003
22,860,0.003
22,863,0.003
22,871,0.003
22,893,0.003
22,474,0.003
22,407,0.003
22,413,0.003
22,458,0.003
22,1015,0.003
22,1019,0.003
23,0,0.003
22,962,0.003
22,528,0.003
19,656,0.003
22,548,0.003
22,534,0.003
22,425,0.003
22,426,0.003
22,435,0.003
22,440,0.003
19,797,0.003
19,771,0.003
19,792,0.003
22,390,0.003
22,372,0.003
22,375,0.003
22,377,0.003
22,282,0.003
22,986,0.003
22,987,0.003
22,928,0.003
22,963,0.003
22,970,0.003
22,973,0.003
22,1012,0.003
22,382,0.003
23,64,0.003
23,20,0.003
23,9,0.003
23,47,0.003
23,50,0.003
23,69,0.003
23,12,0.003
22,980,0.003
19,628,0.003
19,643,0.003
22,475,0.003
22,362,0.003
22,364,0.003
22,402,0.003
22,354,0.003
22,343,0.003
22,330,0.003
22,301,0.003
22,324,0.003
22,307,0.003
22,308,0.003
22,311,0.003
22,216,0.003
22,246,0.003
23,14,0.003
23,16,0.003
23,18,0.003
23,63,0.003
19,753,0.003
19,745,0.003
22,318,0.003
22,323,0.003
23,137,0.003
23,140,0.003
23,87,0.003
23,70,0.003
23,24,0.003
22,1001,0.003
23,29,0.003
22,997,0.003
22,283,0.003
22,285,0.003
22,288,0.003
22,263,0.003
22,269,0.003
22,272,0.003
23,81,0.003
23,84,0.003
22,230,0.003
22,231,0.003
22,232,0.003
22,185,0.003
22,186,0.003
22,119,0.003
22,120,0.003
22,123,0.003
19,68,0.003
19,75,0.003
23,91,0.003
19,899,0.003
19,809,0.003
19,845,0.003
22,294,0.003
22,228,0.003
23,199,0.003
23,206,0.003
23,209,0.003
23,158,0.003
23,95,0.003
23,99,0.003
23,40,0.003
19,141,0.003
22,250,0.003
22,260,0.003
22,235,0.003
23,148,0.003
23,149,0.003
23,153,0.003
23,197,0.003
23,198,0.003
22,157,0.003
22,160,0.003
22,162,0.003
22,202,0.003
22,225,0.003
22,111,0.003
22,112,0.003
22,116,0.003
23,275,0.003
23,113,0.003
23,127,0.003
23,133,0.003
23,157,0.003
19,20,0.003
23,116,0.003
23,143,0.003
23,213,0.003
23,215,0.003
23,217,0.003
23,218,0.003
23,259,0.003
23,262,0.003
19,45,0.003
23,271,0.003
22,124,0.003
22,165,0.003
19,866,0.003
19,875,0.003
19,876,0.003
22,172,0.003
22,175,0.003
22,176,0.003
20,7,0.003
22,135,0.003
22,31,0.003
22,36,0.003
22,40,0.003
22,41,0.003
22,43,0.003
21,1000,0.003
23,190,0.003
23,224,0.003
22,139,0.003
22,142,0.003
22,101,0.003
22,84,0.003
22,128,0.003
22,129,0.003
23,283,0.003
23,286,0.003
23,327,0.003
23,329,0.003
18,984,0.003
18,988,0.003
23,179,0.003
23,189,0.003
22,50,0.003
22,85,0.003
22,95,0.003
22,102,0.003
22,106,0.003
22,107,0.003
23,348,0.003
23,282,0.003
23,299,0.003
23,343,0.003
20,50,0.003
22,82,0.003
22,67,0.003
20,41,0.003
21,978,0.003
21,987,0.003
23,249,0.003
23,250,0.003
23,255,0.003
23,287,0.003
23,290,0.003
23,292,0.003
23,297,0.003
23,316,0.003
23,418,0.003
23,388,0.003
23,390,0.003
23,391,0.003
23,394,0.003
23,402,0.003
23,301,0.003
23,303,0.003
22,80,0.003
22,10,0.003
22,19,0.003
22,20,0.003
20,49,0.003
23,421,0.003
23,408,0.003
23,409,0.003
20,19,0.003
20,22,0.003
20,28,0.003
21,1015,0.003
21,1016,0.003
21,1006,0.003
21,1011,0.003
20,78,0.003
23,384,0.003
23,319,0.003
23,322,0.003
23,324,0.003
23,357,0.003
23,365,0.003
23,375,0.003
18,892,0.003
20,16,0.003
23,471,0.003
18,686,0.003
23,478,0.003
23,483,0.003
23,461,0.003
23,465,0.003
23,325,0.003
21,988,0.003
21,927,0.003
21,952,0.003
21,936,0.003
21,1023,0.003
22,4,0.003
21,974,0.003
21,975,0.003
23,440,0.003
23,426,0.003
23,429,0.003
21,844,0.003
21,845,0.003
21,857,0.003
21,870,0.003
21,939,0.003
23,541,0.003
18,725,0.003
23,458,0.003
23,393,0.003
23,451,0.003
23,454,0.003
23,403,0.003
23,485,0.003
21,798,0.003
21,812,0.003
21,818,0.003
21,826,0.003
21,827,0.003
21,832,0.003
23,559,0.003
23,499,0.003
20,81,0.003
21,753,0.003
21,755,0.003
21,757,0.003
21,763,0.003
21,777,0.003
21,788,0.003
21,795,0.003
23,510,0.003
21,738,0.003
21,673,0.003
21,705,0.003
21,686,0.003
21,714,0.003
21,718,0.003
20,166,0.003
23,609,0.003
23,623,0.003
23,515,0.003
23,516,0.003
23,467,0.003
23,521,0.003
23,507,0.003
23,508,0.003
21,600,0.003
21,612,0.003
21,708,0.003
21,709,0.003
21,652,0.003
21,636,0.003
21,648,0.003
23,608,0.003
21,883,0.003
21,886,0.003
20,143,0.003
20,54,0.003
20,67,0.003
21,905,0.003
21,671,0.003
21,657,0.003
23,584,0.003
20,203,0.003
20,213,0.003
20,216,0.003
20,161,0.003
21,601,0.003
21,610,0.003
21,627,0.003
23,639,0.003
23,675,0.003
23,586,0.003
23,587,0.003
23,528,0.003
23,531,0.003
23,582,0.003
23,583,0.003
21,540,0.003
21,489,0.003
20,148,0.003
21,572,0.003
21,574,0.003
21,516,0.003
23,699,0.003
23,638,0.003
20,103,0.003
20,110,0.003
20,112,0.003
21,527,0.003
21,514,0.003
21,544,0.003
21,530,0.003
21,479,0.003
21,254,0.003
21,258,0.003
21,259,0.003
21,261,0.003
21,350,0.003
21,297,0.003
21,279,0.003
21,309,0.003
20,191,0.003
20,195,0.003
20,200,0.003
21,494,0.003
21,503,0.003
21,439,0.003
21,314,0.003
21,235,0.003
21,469,0.003
21,407,0.003
21,410,0.003
21,411,0.003
21,447,0.003
21,449,0.003
20,246,0.003
20,193,0.003
21,628,0.003
21,545,0.003
21,422,0.003
21,431,0.003
21,432,0.003
21,367,0.003
21,398,0.003
21,467,0.003
21,395,0.003
21,325,0.003
21,188,0.003
21,135,0.003
21,138,0.003
21,141,0.003
21,150,0.003
21,217,0.003
23,646,0.003
23,666,0.003
23,652,0.003
23,692,0.003
20,239,0.003
20,241,0.003
21,385,0.003
21,386,0.003
23,759,0.003
23,761,0.003
23,742,0.003
23,664,0.003
23,665,0.003
23,599,0.003
23,601,0.003
23,622,0.003
21,291,0.003
21,296,0.003
21,304,0.003
21,327,0.003
23,752,0.003
18,446,0.003
18,339,0.003
23,755,0.003
20,270,0.003
20,279,0.003
21,263,0.003
21,270,0.003
21,273,0.003
21,195,0.003
21,197,0.003
21,224,0.003
23,763,0.003
23,766,0.003
23,706,0.003
23,750,0.003
20,347,0.003
20,354,0.003
20,360,0.003
20,269,0.003
23,806,0.003
23,809,0.003
23,831,0.003
23,713,0.003
23,737,0.003
23,732,0.003
23,736,0.003
23,684,0.003
21,163,0.003
21,164,0.003
21,173,0.003
21,174,0.003
21,176,0.003
23,820,0.003
18,365,0.003
18,373,0.003
23,948,0.003
23,1009,0.003
23,897,0.003
23,1007,0.003
23,881,0.003
18,6,0.003
23,884,0.003
20,683,0.003
20,422,0.003
23,896,0.003
23,1022,0.003
23,1018,0.003
23,1017,0.003
23,900,0.003
23,1012,0.003
23,1010,0.003
21,51,0.003
23,974,0.003
23,980,0.003
23,981,0.003
20,470,0.003
23,1014,0.003
23,998,0.003
23,1004,0.003
20,324,0.003
20,352,0.003
20,338,0.003
21,60,0.003
21,90,0.003
21,113,0.003
21,33,0.003
21,49,0.003
22,639,0.003
22,649,0.003
22,597,0.003
22,582,0.003
22,592,0.003
22,620,0.003
22,622,0.003
22,626,0.003
22,703,0.003
22,704,0.003
19,486,0.003
22,739,0.003
22,741,0.003
22,744,0.003
22,749,0.003
22,589,0.003
23,867,0.003
23,872,0.003
23,906,0.003
23,909,0.003
23,914,0.003
23,859,0.003
23,856,0.003
22,699,0.003
20,688,0.003
20,695,0.003
20,614,0.003
20,502,0.003
20,497,0.003
23,858,0.003
23,877,0.003
23,865,0.003
21,878,0.002
21,877,0.002
21,876,0.002
21,875,0.002
21,873,0.002
21,872,0.002
21,885,0.002
23,281,0.002
23,267,0.002
21,880,0.002
18,809,0.002
23,269,0.002
23,270,0.002
20,130,0.002
23,272,0.002
20,120,0.002
20,144,0.002
20,60,0.002
18,905,0.002
20,53,0.002
20,70,0.002
20,69,0.002
23,268,0.002
23,239,0.002
21,989,0.002
21,985,0.002
23,243,0.002
23,245,0.002
21,916,0.002
21,910,0.002
23,232,0.002
21,930,0.002
21,929,0.002
21,928,0.002
23,277,0.002
21,924,0.002
23,236,0.002
23,221,0.002
21,938,0.002
21,935,0.002
23,228,0.002
23,216,0.002
21,950,0.002
23,220,0.002
21,944,0.002
23,274,0.002
23,233,0.002
23,263,0.002
23,265,0.002
23,251,0.002
23,254,0.002
21,801,0.002
21,797,0.002
21,792,0.002
21,810,0.002
23,312,0.002
23,315,0.002
23,302,0.002
20,68,0.002
21,821,0.002
21,819,0.002
21,817,0.002
23,307,0.002
23,293,0.002
23,298,0.002
23,284,0.002
23,285,0.002
23,288,0.002
21,756,0.002
23,346,0.002
23,304,0.002
21,897,0.002
21,896,0.002
21,893,0.002
21,891,0.002
21,890,0.002
21,907,0.002
21,904,0.002
21,899,0.002
19,23,0.002
21,842,0.002
21,837,0.002
21,854,0.002
21,853,0.002
21,852,0.002
21,851,0.002
21,850,0.002
19,33,0.002
19,36,0.002
21,860,0.002
21,859,0.002
23,260,0.002
23,261,0.002
21,855,0.002
21,833,0.002
20,38,0.002
23,122,0.002
23,123,0.002
23,107,0.002
23,108,0.002
23,109,0.002
19,990,0.002
23,167,0.002
23,169,0.002
19,976,0.002
23,173,0.002
23,181,0.002
19,997,0.002
22,72,0.002
22,71,0.002
22,65,0.002
22,81,0.002
22,79,0.002
22,77,0.002
22,16,0.002
19,21,0.002
19,22,0.002
18,1002,0.002
19,1005,0.002
22,149,0.002
23,96,0.002
22,92,0.002
23,82,0.002
22,86,0.002
22,83,0.002
22,100,0.002
22,99,0.002
22,98,0.002
23,86,0.002
23,74,0.002
20,39,0.002
23,135,0.002
22,105,0.002
22,104,0.002
22,117,0.002
23,139,0.002
22,49,0.002
23,130,0.002
23,131,0.002
23,132,0.002
22,57,0.002
23,118,0.002
22,109,0.002
21,1020,0.002
21,1019,0.002
23,200,0.002
22,8,0.002
23,201,0.002
22,3,0.002
23,202,0.002
21,964,0.002
23,203,0.002
23,186,0.002
23,192,0.002
18,1005,0.002
21,954,0.002
23,194,0.002
21,973,0.002
21,972,0.002
21,968,0.002
21,967,0.002
21,965,0.002
21,983,0.002
21,982,0.002
21,981,0.002
21,980,0.002
21,955,0.002
22,23,0.002
18,1007,0.002
18,1010,0.002
22,33,0.002
22,32,0.002
22,30,0.002
22,27,0.002
22,26,0.002
18,1023,0.002
21,1002,0.002
21,998,0.002
23,212,0.002
21,996,0.002
21,1014,0.002
21,1012,0.002
19,98,0.002
19,83,0.002
20,90,0.002
23,152,0.002
23,155,0.002
23,147,0.002
20,13,0.002
23,205,0.002
19,90,0.002
23,397,0.002
21,523,0.002
23,398,0.002
23,401,0.002
23,387,0.002
21,517,0.002
23,450,0.002
21,533,0.002
21,528,0.002
23,456,0.002
23,349,0.002
21,541,0.002
21,539,0.002
23,442,0.002
21,478,0.002
21,477,0.002
21,476,0.002
21,475,0.002
21,474,0.002
21,473,0.002
23,443,0.002
21,490,0.002
21,542,0.002
21,562,0.002
21,580,0.002
20,209,0.002
20,208,0.002
20,224,0.002
20,222,0.002
20,221,0.002
18,761,0.002
20,150,0.002
20,149,0.002
20,158,0.002
21,508,0.002
20,153,0.002
21,579,0.002
21,576,0.002
21,571,0.002
21,590,0.002
21,582,0.002
21,515,0.002
21,513,0.002
21,511,0.002
23,411,0.002
21,509,0.002
20,156,0.002
23,481,0.002
20,250,0.002
23,482,0.002
20,265,0.002
20,264,0.002
20,261,0.002
18,705,0.002
20,192,0.002
18,710,0.002
20,186,0.002
20,184,0.002
23,444,0.002
21,460,0.002
21,457,0.002
21,454,0.002
21,453,0.002
21,471,0.002
18,801,0.002
21,406,0.002
21,405,0.002
21,404,0.002
21,401,0.002
21,399,0.002
20,194,0.002
23,447,0.002
21,484,0.002
23,433,0.002
23,434,0.002
21,499,0.002
21,497,0.002
23,436,0.002
23,438,0.002
21,507,0.002
21,506,0.002
21,504,0.002
20,254,0.002
23,486,0.002
23,489,0.002
21,435,0.002
23,491,0.002
23,493,0.002
21,445,0.002
23,476,0.002
21,443,0.002
23,480,0.002
20,256,0.002
20,255,0.002
23,427,0.002
18,995,0.002
18,974,0.002
20,104,0.002
18,975,0.002
23,328,0.002
23,334,0.002
23,320,0.002
21,733,0.002
23,378,0.002
21,748,0.002
21,747,0.002
21,567,0.002
23,380,0.002
23,381,0.002
21,682,0.002
23,383,0.002
21,680,0.002
