layer,neuron,label,flips,precision,recall,F1
18,568,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,643,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,660,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,720,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,817,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,821,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,860,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,972,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
19,168,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
23,34,finance,1,0.5,0.0666666666666666,0.1176470588235294
21,395,finance,1,0.3333333333333333,0.0666666666666666,0.1111111111111111
22,910,finance,1,0.3333333333333333,0.0666666666666666,0.1111111111111111
22,165,finance,1,0.25,0.0666666666666666,0.1052631578947368
23,584,finance,1,0.25,0.0666666666666666,0.1052631578947368
22,78,finance,1,0.2,0.0666666666666666,0.1
20,771,finance,1,0.125,0.0666666666666666,0.0869565217391304
23,173,finance,1,0.1111111111111111,0.0666666666666666,0.0833333333333333
23,233,finance,1,0.1111111111111111,0.0666666666666666,0.0833333333333333
23,172,finance,1,0.0909090909090909,0.0666666666666666,0.0769230769230769
22,238,finance,1,0.0833333333333333,0.0666666666666666,0.074074074074074
23,230,finance,1,0.0769230769230769,0.0666666666666666,0.0714285714285714
23,1023,finance,1,0.0714285714285714,0.0666666666666666,0.0689655172413793
23,529,finance,1,0.0526315789473684,0.0666666666666666,0.0588235294117647
23,873,finance,1,0.0384615384615384,0.0666666666666666,0.048780487804878
23,128,food_cooking,1,0.0833333333333333,0.5,0.1428571428571428
23,757,food_cooking,1,0.0434782608695652,0.5,0.08
19,677,history,1,1.0,0.0021008403361344,0.0041928721174004
19,432,history,1,1.0,0.0021008403361344,0.0041928721174004
19,632,history,1,1.0,0.0021008403361344,0.0041928721174004
19,756,history,1,1.0,0.0021008403361344,0.0041928721174004
20,813,history,1,1.0,0.0021008403361344,0.0041928721174004
20,928,history,1,1.0,0.0021008403361344,0.0041928721174004
20,408,history,1,1.0,0.0021008403361344,0.0041928721174004
20,689,history,1,1.0,0.0021008403361344,0.0041928721174004
20,520,history,1,1.0,0.0021008403361344,0.0041928721174004
21,286,history,1,1.0,0.0021008403361344,0.0041928721174004
21,308,history,1,1.0,0.0021008403361344,0.0041928721174004
21,976,history,1,1.0,0.0021008403361344,0.0041928721174004
22,542,history,1,1.0,0.0021008403361344,0.0041928721174004
22,924,history,1,1.0,0.0021008403361344,0.0041928721174004
22,966,history,1,1.0,0.0021008403361344,0.0041928721174004
22,489,history,1,1.0,0.0021008403361344,0.0041928721174004
22,618,history,1,1.0,0.0021008403361344,0.0041928721174004
22,154,history,1,1.0,0.0021008403361344,0.0041928721174004
23,821,history,1,1.0,0.0021008403361344,0.0041928721174004
23,937,history,1,1.0,0.0021008403361344,0.0041928721174004
23,593,history,1,1.0,0.0021008403361344,0.0041928721174004
23,663,history,1,1.0,0.0021008403361344,0.0041928721174004
23,638,history,2,0.6666666666666666,0.0042016806722689,0.0083507306889352
23,138,history,2,0.6666666666666666,0.0042016806722689,0.0083507306889352
23,309,history,2,0.6666666666666666,0.0042016806722689,0.0083507306889352
18,2,law,1,1.0,0.0005920663114268,0.0011834319526627
18,13,law,1,1.0,0.0005920663114268,0.0011834319526627
18,16,law,1,1.0,0.0005920663114268,0.0011834319526627
18,23,law,1,1.0,0.0005920663114268,0.0011834319526627
18,28,law,1,1.0,0.0005920663114268,0.0011834319526627
18,57,law,1,1.0,0.0005920663114268,0.0011834319526627
18,63,law,1,1.0,0.0005920663114268,0.0011834319526627
18,64,law,1,1.0,0.0005920663114268,0.0011834319526627
